;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TROUVEZ LA BONNE BATTERIE
POUR VOTRE VÉHICULE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modèle;;;;;;;;Type;;;;;;;;;;;;;;Carburant;de            à;;;;;;;AGM;;;EFB;CONVENTIONNELLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALFA ROMEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modèle;;;;;;;;Type;;;;;;;;;;;;;;Carburant;de            à;;;;;;;AGM;;;EFB;CONVENTIONNELLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DUCATO Platform/ Chassis (250_, 290_);;;;;;;;"3.0 D
115 Multijet 2.0 D, 130 Multijet 2.3 D";;;;;;;;;;;;;;Diesel;2006-07;;;;;;;;;;F32;;;F7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRANDE PUNTO (199_);;;;;;;;1.4, 1.4 16V, 1.4 T-Jet;;;;;;;;;;;;;;Petrole;2005-06;;2015-12;;;;;;;;F30;;;F1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MULTIPLA (186_);;;;;;;;"1.9 JTD, 1.9 JTD 105 , 1.9 JTD 110, 1.9
JTD 115";;;;;;;;;;;;;;Diesel;1999-04;;2010-06;;;;;;;;F32;;;F7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANDA (169_) | PANDA / PANDA CLASSIC;;;;;;;;1.2 (169AXF2A, 169AXF1A);;;;;;;;;;;;;;Petrole;2010-03;;2013-08;;;;;;;;F31;;;F1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANDA (312_, 319_);;;;;;;;0.9, 0.9 4x4 , 1.2;;;;;;;;;;;;;;Petrole;2012-02;;;;;;;;;;F31;;;F1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PUNTO (188_);;;;;;;;1.9 DS 60, 1.9 JTD, 1.9 JTD 80;;;;;;;;;;;;;;Diesel;1999-09;;2012-03;;;;;;;;F31;;;F4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCUDO Box (220_);;;;;;;;1.9 D;;;;;;;;;;;;;;Diesel;1996-02;;2006-12;;;;;;;;F32;;;F7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STILO (192_);;;;;;;;1.9 JTD;;;;;;;;;;;;;;Diesel;2001-10;;2006-11;;;;;;;;F32;;;F7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FORD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1                                        1.6 TDI                                                           Diesel   2010-05  2015-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F40;;F32              F4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1, A1 Sportback;;;;;;;;1.4 TDI, 1.6 TDI;;;;;;;;;;;;;;Diesel;2011-03;;2018-10;;;;;;;;F32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1, A1 Sportback;;;;;;;;1.2 TFSI;;;;;;;;;;;;;;Petrole;2010-05;;2015-04;;;;;F40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1, A1 Sportback;;;;;;;;1.0 TFSI, 1.4 TFSI;;;;;;;;;;;;;;Petrole;2010-05;;2018-10;;;;;;;;F31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A3 (8L1), A3 Convertible (8P7), A3 Sportback (8PA);;;;;;;;"1.6 TDI, 1.9 TDI, 2.0 TDI quattro, 2.0
TDI 16V, 2.0 TDI 16V quattro";;;;;;;;;;;;;;Diesel;1996-09;;2013-03;;;;;F41;;;F32;;;F7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A3, A3 Sportback;;;;;;;;"1.6 TDI, 1.6 TDI quattro, 2.0 TDI, 2.0
TDI quattro, 30 TDI (1.6)";;;;;;;;;;;;;;Diesel;2012-10;;;;;;;;;;F32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A4 (8D2, B5), A4 Avant
(8D5, B5), A4 Convertible (8H7, B6, 8HE, B7)";;;;;;;;"1.9 TDI, 2.0 TDI 16V, 2.5 TDI, 2.5 TDI
quattro,";;;;;;;;;;;;;;Diesel;1995-01;;2015-12;;;;;F41          F32              F7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A5 (8T3), A5 Sportback (8TA);;;;;;;;2.7 TDI, 3.0 TDI quattro;;;;;;;;;;;;;;Diesel;2007-06;;2012-03;;;;;F44;;;FL1050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A6 (4B2, C5, 4F2, C6, 4G2, 4GC, C7), A6  Avant (4B5, C5, 4F5, C6);;;;;;;;"2.5 TDI, 2.5 TDI quattro, 2.7 TDI, 2.7 TDI
quattro 3.0 TDI quattro";;;;;;;;;;;;;;Diesel;1997-07;;2018-09;;;;;F42;;;FL800;;;F12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q3 (8UB, 8UG), Q3 (F3B);;;;;;;;"2.0 TDI, 2.0 TDI quattro, 35 TDI quattro
(2.0)";;;;;;;;;;;;;;Diesel;2011-06;;;;;;;;;;F32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-MAX (DM2)                      1.8 TDCi, 2.0 TDCi                                          Diesel    2007-02  2010-09                   FL652            F8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECOSPORT;;;;;;;;1.0 EcoBoost;;;;;;;;;;;;;;Petrole;2013-10;;;;;;;;;;FL652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIESTA;;IV;(JA_,;;JB_);;;1.8 D, 1.8 DI;;;;;;;;;;;;;;Diesel;1995-08 2002-01;;;;;;;;;;;;;F6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIESTA;;V;(JH_,;;JD_);;;1.4 TDCi;;;;;;;;;;;;;;Diesel;2001-11;;2008-06;;;;;;;;;;;F6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
