ID,Brand,Model,ConstructionYearStart,ConstructionYearEnd,TypeConception,LightType,Position,Category,PartNumber,Notes,Source
46,"ABARTH","PUNTO (199_)","07/08","Present","Standard","PY21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
47,"ABARTH","PUNTO (199_)","07/08","Present","Standard","P21W","Feux de stop","feu_stop","","","OSRAM CSV Guide"
48,"ABARTH","PUNTO (199_)","07/08","Present","Standard","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
49,"ABARTH","PUNTO (199_)","07/08","Present","Standard","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
50,"ABARTH","PUNTO (199_)","07/08","Present","Standard","-","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
51,"ALFA ROMEO","145 (930_)","07/94","01/01","Standard","H1","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
52,"ALFA ROMEO","145 (930_)","07/94","01/01","Standard","H1","Feu de route","feu_de_route","","","OSRAM CSV Guide"
53,"ALFA ROMEO","145 (930_)","07/94","01/01","Standard","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
54,"ALFA ROMEO","145 (930_)","07/94","01/01","Standard","W5W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
55,"ALFA ROMEO","145 (930_)","07/94","01/01","Standard","PY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
56,"ALFA ROMEO","145 (930_)","07/94","01/01","Standard","PY21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
57,"ALFA ROMEO","145 (930_)","07/94","01/01","Standard","P21","Feux de stop","feu_stop","","","OSRAM CSV Guide"
58,"ALFA ROMEO","145 (930_)","07/94","01/01","Standard","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
59,"ALFA ROMEO","145 (930_)","07/94","01/01","Standard","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
60,"ALFA ROMEO","145 (930_)","07/94","01/01","Standard","6411","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
61,"ALFA ROMEO","146 (930_)","12/94","01/01","> 1997","H1","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
62,"ALFA ROMEO","146 (930_)","12/94","01/01","> 1997","H1","Feu de route","feu_de_route","","","OSRAM CSV Guide"
63,"ALFA ROMEO","146 (930_)","12/94","01/01","> 1997","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
64,"ALFA ROMEO","146 (930_)","12/94","01/01","> 1997","W5W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
65,"ALFA ROMEO","146 (930_)","12/94","01/01","> 1997","PY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
66,"ALFA ROMEO","146 (930_)","12/94","01/01","> 1997","PY21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
67,"ALFA ROMEO","146 (930_)","12/94","01/01","> 1997","P21","Feux de stop","feu_stop","","","OSRAM CSV Guide"
68,"ALFA ROMEO","146 (930_)","12/94","01/01","> 1997","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
69,"ALFA ROMEO","146 (930_)","12/94","01/01","> 1997","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
70,"ALFA ROMEO","146 (930_)","12/94","01/01","> 1997","6411","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
71,"ALFA ROMEO","147 (937_)","11/00","03/10","> 2004, Halogen","H7","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
72,"ALFA ROMEO","147 (937_)","11/00","03/10","> 2004, Halogen","H7","Feu de route","feu_de_route","","","OSRAM CSV Guide"
73,"ALFA ROMEO","147 (937_)","11/00","03/10","> 2004, Halogen","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
74,"ALFA ROMEO","147 (937_)","11/00","03/10","> 2004, Halogen","H6W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
75,"ALFA ROMEO","147 (937_)","11/00","03/10","> 2004, Halogen","H21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
76,"ALFA ROMEO","147 (937_)","11/00","03/10","> 2004, Halogen","P21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
77,"ALFA ROMEO","147 (937_)","11/00","03/10","> 2004, Halogen","P21","Feux de stop","feu_stop","","","OSRAM CSV Guide"
78,"ALFA ROMEO","147 (937_)","11/00","03/10","> 2004, Halogen","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
79,"ALFA ROMEO","147 (937_)","11/00","03/10","> 2004, Halogen","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
80,"ALFA ROMEO","147 (937_)","11/00","03/10","> 2004, Halogen","6411","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
81,"ALFA ROMEO","155 (167_)","01/92","12/97","Standard","H1","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
82,"ALFA ROMEO","155 (167_)","01/92","12/97","Standard","H1","Feu de route","feu_de_route","","","OSRAM CSV Guide"
83,"ALFA ROMEO","155 (167_)","01/92","12/97","Standard","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
84,"ALFA ROMEO","155 (167_)","01/92","12/97","Standard","W5W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
85,"ALFA ROMEO","155 (167_)","01/92","12/97","Standard","P21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
86,"ALFA ROMEO","155 (167_)","01/92","12/97","Standard","P21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
87,"ALFA ROMEO","155 (167_)","01/92","12/97","Standard","P21W","Feux de stop","feu_stop","","","OSRAM CSV Guide"
88,"ALFA ROMEO","155 (167_)","01/92","12/97","Standard","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
89,"ALFA ROMEO","155 (167_)","01/92","12/97","Standard","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
90,"ALFA ROMEO","155 (167_)","01/92","12/97","Standard","**","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
91,"ALFA ROMEO","156 (932_)","09/97","09/05","Halogen","H7","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
92,"ALFA ROMEO","156 (932_)","09/97","09/05","Halogen","H1","Feu de route","feu_de_route","","","OSRAM CSV Guide"
93,"ALFA ROMEO","156 (932_)","09/97","09/05","Halogen","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
94,"ALFA ROMEO","156 (932_)","09/97","09/05","Halogen","H6W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
95,"ALFA ROMEO","156 (932_)","09/97","09/05","Halogen","PY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
96,"ALFA ROMEO","156 (932_)","09/97","09/05","Halogen","P21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
97,"ALFA ROMEO","156 (932_)","09/97","09/05","Halogen","P21","Feux de stop","feu_stop","","","OSRAM CSV Guide"
98,"ALFA ROMEO","156 (932_)","09/97","09/05","Halogen","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
99,"ALFA ROMEO","156 (932_)","09/97","09/05","Halogen","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
100,"ALFA ROMEO","156 (932_)","09/97","09/05","Halogen","6413","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
101,"ALFA ROMEO","156 Sportwagon (932_)","01/00","05/06","Halogen","H7","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
102,"ALFA ROMEO","156 Sportwagon (932_)","01/00","05/06","Halogen","H1","Feu de route","feu_de_route","","","OSRAM CSV Guide"
103,"ALFA ROMEO","156 Sportwagon (932_)","01/00","05/06","Halogen","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
104,"ALFA ROMEO","156 Sportwagon (932_)","01/00","05/06","Halogen","H6W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
