Brand;Vehicle;Motorisation;Fuel;StartDate;EndDate;Battery_AGM;Battery_EFB;Battery_Conventional
ECOSPORT;;1.0 EcoBoost;Petrole;;;;FL652;
FIESTA;;1.8 D, 1.8 DI;Diesel;;;F6;;
FIESTA;;1.4 TDCi;Diesel;;;F6;;
DISPATCH;;;120 / 150 / 180                                                Diesel    2016-04;2016-04;;F41;;
MINI COUNTRYMAN;;;Diesel;;;F41;;
