Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
FIAT;DOBLO Box Body / Estate (263_);1.3 D Multijet;Diesel;2010-02-01;;;F31;F4
FIAT;DOBLO Cargo (223_);1.3 D Multijet, 1.3 JTD 16V, 1.9, 1.9 JTD;Diesel;2001-03-01;2010-01-01;;F31;F4
FIAT;DOBLO MPV (119_, 223_);1.3 D Multijet, 1.3 JTD 16V, 1.9, 1.9 JTD;Diesel;2001-03-01;;;FL1000;F10
FIAT;DUCATO Box (230_);2.5 D, 2.5 TDI, 2.8 D, 2.8 D 4x4, 2.8 TDI;Diesel;1994-03-01;2002-04-01;;;F7
FIAT;DUCATO Box (244_);2.8 JTD, 2.8 JTD 4x4, 2.8 JTD Power, 2.8 TD;Diesel;2002-04-01;;;F10;
FIAT;DUCATO Box (244_);2.0 JTD, 2.3 JTD;Diesel;2002-04-01;;;F32;F7
FIAT;DUCATO Box (250_, 290_);100 Multijet 2,2 D, 120 Multijet 2,3 D, 160 Multijet 3.0 D, 180 Multijet 3.0 D;Diesel;2006-07-01;;;FL1050;
FIAT;DUCATO Box (250_, 290_);115 Multijet 2,0 D, 130 Multijet 2,3 D;Diesel;2006-07-01;;;F32;
FIAT;DUCATO Box (250_, 290_);150 Multijet 2,3 D, 160 Multijet 3,0 D;Diesel;2006-07-01;;;F43;FL1000
FIAT;DUCATO Bus (250_, 290_);100 Multijet 2,2 D, 120 Multijet 2,3 D, 160 Multijet 3.0 D, 180 Multijet 3.0 D;Diesel;2006-07-01;;;FL1050;
FIAT;DUCATO Platform/ Chassis (250_, 290_);100 Multijet 2,2 D, 120 Multijet 2,3 D, 160 Multijet 3.0 D, 180 Multijet 3.0 D;Diesel;2006-07-01;;;FL1050;
FIAT;DUCATO Platform/ Chassis (250_, 290_);115 Multijet 2.0 D, 130 Multijet 2.3 D;Diesel;2006-07-01;;;F32;F7
FIAT;GRANDE PUNTO (199_);1.4, 1.4 16V, 1.4 T-Jet;Petrole;2005-06-01;2015-12-01;;F30;F1
FIAT;MULTIPLA (186_);1.9 JTD, 1.9 JTD 105 , 1.9 JTD 110, 1.9 JTD 115;Diesel;1999-04-01;2010-06-01;;F32;F7
FIAT;PANDA (169_) | PANDA / PANDA CLASSIC;1.2 (169AXF2A, 169AXF1A);Petrole;2010-03-01;2013-08-01;;F31;F1
FIAT;PANDA (312_, 319_);0.9, 0.9 4x4 , 1.2;Petrole;2012-02-01;;;F31;F1
FIAT;PUNTO (188_);1.9 DS 60, 1.9 JTD, 1.9 JTD 80;Diesel;1999-09-01;2012-03-01;;F31;F4
FIAT;SCUDO Box (220_);1.9 D;Diesel;1996-02-01;2006-12-01;;F32;F7
FIAT;STILO (192_);1.9 JTD;Diesel;2001-10-01;2006-11-01;;F32;F7
FORD;C-MAX (DM2);1.8 TDCi, 2.0 TDCi;Diesel;2007-02-01;2010-09-01;;FL652;F8
FORD;ECOSPORT;1.0 EcoBoost;Petrole;2013-10-01;;;FL652;
FORD;FIESTA IV (JA_, JB_);1.8 D, 1.8 DI;Diesel;1995-08-01;2002-01-01;;;F6
FORD;FIESTA V (JH_, JD_);1.4 TDCi;Diesel;2001-11-01;2008-06-01;;;F6
FORD;FIESTA V (JH_, JD_);1.25 16V, 1.4 16V, 1.6 16V;Petrole;2001-11-01;2008-06-01;;;F3
FORD;FIESTA VI (CB1, CCN);1.4 TDCi, 1.5 TDCi;Diesel;2009-01-01;;;FL652;F6
FORD;FIESTA VI (CB1, CCN);1.0, 1.0 EcoBoost, 1.0 Sport, 1.6 Ti;Petrole;2008-06-01;;;FL652;F6
FORD;FIESTA VI (CB1, CCN);1.6 TDCi;Diesel;2010-02-01;;;FL652;F8
FORD;FIESTA VII;1.5 TDCi;Diesel;2010-08-01;;;FL652;F8
FORD;FOCUS (DAW, DBW);1.8 TDCi, 1.8 Turbo DI / TDDi;Diesel;1998-10-01;2004-11-01;;FL652;F8
FORD;FOCUS (DAW, DBW);1.4 16V, 1.6 16V, 1.8 16V;Petrole;1998-10-01;2004-11-01;;;F3
FORD;FOCUS C-MAX (DM2);1.6 TDCi, 1.8 TDCi, 2.0 TDCi;Diesel;2003-10-01;2007-03-01;;FL752;
FORD;FOCUS II (DA_, HCP, DP);1.6 TDCi, 1.8 TDCi, 2.0 TDCi;Diesel;2004-07-01;2012-09-01;;FL652;F8
FORD;FOCUS Turnier (DNW);1.8 TDCi, 1.8 Turbo DI / TDDi;Diesel;1999-02-01;2004-11-01;;FL652;F8
FORD;FUSION (JU_);1.4 TDCi, 1.6 TDCi;Diesel;2002-08-01;2012-12-01;;FL652;F8
FORD;FUSION (JU_);1.4, 1.6;Petrole;2002-08-01;2012-12-01;;;F3
FORD;GALAXY;1.9 TDI;Diesel;1995-03-01;2006-05-01;;FL1000;F10
FORD;KA (RB_) (WGR);1.3 i;Petrole;1996-09-01;2008-11-01;;;F3
FORD;KA (RU8);1.2;Petrole;2008-10-01;;;F30;F1
FORD;KA+ (UK, FK);1.3 i;Petrole;1996-09-01;2008-11-01;;;F3
FORD;KUGA I MONDEO;1.2;Petrole;2008-10-01;;;F30;F1
FORD;MONDEO III (B5Y);1.2, 1.2 Ti-VCT;Petrole;2016-06-01;;;;F3
FORD;MONDEO III (B5Y);2.0 TDCi, 2.0 TDCi 4x4;Diesel;2008-03-01;2012-11-01;;FL652;F8
FORD;MONDEO III Turnier (BWY);2.0 16V DI / TDDi / TDCi;Diesel;2000-10-01;2007-03-01;;FL652;F8
FORD;MONDEO III Turnier (BWY);1.8 16V;Petrole;2000-10-01;2007-03-01;;;F6
FORD;RANGER (TKE);3.2 TDCi 4x4;Diesel;2011-04-01;;;FL752;
FORD;S-MAX (WA6) TRANSIT;1.8 TDCi, 2.0 TDCi;Diesel;2006-05-01;2014-12-01;;FL752;
FORD;TRANSIT Box (E_ _) TRANSIT Box (FA_ _);2.5 DI, 2.5 TD, 2.5 TDI;Diesel;1991-05-01;2000-03-01;;FL652;F8
FORD;TRANSIT Box (E_ _) TRANSIT Box (FA_ _);2.2 TDCi, 2.4 Di, 2.4 TDCi, 2.4 TDE;Diesel;2000-01-01;2014-08-01;;FL752;
FORD;TRANSIT CONNECT (P65_, P70_, P80_);1.8 DI, 1.8 TDCi;Diesel;2002-06-01;2013-12-01;;FL652;F8
CHEVROLET;MATIZ (M200, M250);0.8;Petrole;2005-03-01;2013-12-01;;;F7
CHRYSLER;PT CRUISER (PT_);2.2 CRD;Diesel;2002-03-01;2010-12-01;;FK508;
CITROËN;BERLINGO (B9);1.6 HDi 75, 1.6 HDi 75 16V, 1.6 HDi 90, 1.6 BlueHDi 100, 1.6 BlueHDi 120, 1.6 HDi 110, 1.6 HDi 115;Diesel;2008-04-01;;F41;F31;F4
CITROËN;BERLINGO / BERLINGO FIRST Box (M_);1.6 HDI 75, 1.6 HDI 90, 1.9 D 70, 2.0 HDI 90;Diesel;1996-07-01;2011-12-01;;F31;F4
CITROËN;BERLINGO / BERLINGO FIRST MPV (MF, GJK, GFK);1.6 HDI 90, 1.9 D;Diesel;1996-07-01;2008-05-01;;F31;F4
CITROËN;BERLINGO / BERLINGO FIRST MPV (MF, GJK, GFK);1.4 i, 1.6 16V;Petrole;1996-07-01;2011-12-01;;F30;F1
CITROËN;BERLINGO Box (B9);1.6 HDi 110, 1.6 HDi 115, 1.6 HDi 75, 1.6 HDi 90 16V;Diesel;2008-04-01;;;F31;F4
CITROËN;BERLINGO Box (B9);1.6 BlueHDi 100, 1.6 BlueHDi 120, 1.6 HDi / BlueHDi 75, 1.6 HDi 90;Diesel;2010-07-01;;F41;F31;
