Brand;Vehicle;Motorisation;Fuel;StartDate;EndDate;Battery_AGM;Battery_EFB;Battery_Conventional
KUGA I MONDEO;;1.6 HDi 90;Diesel;2013-02;;F4;;
KUGA I MONDEO;C-CLASS (W204);C 200 CDI, C 220;Diesel;2007-01;;F7;F32;
KUGA I MONDEO;(CL203) CLK (C209);220 CDI, 270 CDI, 320 CDI;Diesel;2002-10;;F42;;F12
KUGA I MONDEO;;BlueHDi 150, 2.0 HDi 165 / 180 / 200";Diesel;2009-04;;F4;;
KUGA I MONDEO;E-CLASS (W211);E 220 CDI, E 280 CDI, E 320 CDI;Diesel;2002-11;;F43;;
KUGA I MONDEO;;165 / 180, 2.2 Hdi 200, 3.0 Hdi 240";Diesel;2008-02;;F7;F32;
KUGA I MONDEO;C8 (EA_, EB_);2.0 HDI, 2.0 HDi 135 / 165, 2.2 Hdi;Diesel;2002-07;;F7;F32;
KUGA I MONDEO;GLA-CLASS (X156);GLA 200 CDI / d / 4-matic, GLA 220 CDI / d;Diesel;2013-12;;F42;;
KUGA I MONDEO;C-CROSSER (EP_);2.2 HDi                                                           Diesel    2007-02;2.2 HDi                                                           Diesel    2007-02;2007-02;;;FL954;
KUGA I MONDEO;;1.6 HDi 90 / 110 / 115, 1.6 BlueHDi 120;Diesel;2009-11;;F4;F32;
KUGA I MONDEO;M-CLASS (W163);ML 270 CDI, ML 400 CDI;Diesel;1999-12;;F43;;F10
KUGA I MONDEO;;1.6 HDi 110 / 115;Diesel;2011-04;;F4;F31;
KUGA I MONDEO;(W164) M-;ML 250 CDI / BlueTEC 4-matic;Diesel;2011-06;;F43;;
KUGA I MONDEO;(SRP2R3I1N)TER 3,5-t Box (906);313 CDI, 314 CDI, 316 CDI;Diesel;2006-06;;F43;FL1000;F10
KUGA I MONDEO;JUMPER Box (244) | RELAY;2.8 HDI / 4x4                                                   Diesel   2002-04;2.8 HDI / 4x4                                                   Diesel   2002-04;2002-04;;F43;FL1000;F10
KUGA I MONDEO;JUMPER Box (244) | RELAY;2.0 HDI;Diesel;2002-04;;F7;FL1050;
KUGA I MONDEO;VITO / MIXTO Box (W639);109 / 111 / 115 CDI;Diesel;2003-09;;F42;FL752;
KUGA I MONDEO;;2.2 HDi 100;Diesel;2006-04;;F44;FL1050;
KUGA I MONDEO;;2.2, 110 D 2.3, 112 CDI 2.2";Diesel;1997-03;;F42;FL752;
KUGA I MONDEO;VITO Bus (W639)              109 / 110 / 111 / 113 / 115 / 116 CDI           Diesel     2003-09                      F42;1.6 BlueHDi 95 / 115, 2.0 BlueHDi";Diesel   2006-04                   F44       FL1050;2006-04;;;FL752;
KUGA I MONDEO;MINI (F55);;Petrol;2013-09;;F41;;
KUGA I MONDEO;MINI (F56);;Petrol;2013-12;;F41;;
KUGA I MONDEO;MINI (R56);;Petrol;2006-10;;F41;;
KUGA I MONDEO;;1.3 HDi 75 / 80, 1.4 HDi;Diesel;2009-04;;F4;F31;
